FECHA,USD,JMD,DOP,MXN,BRL
2018-01-01,1,122.9000015258789,47.61899948120117,19.650850296020508,3.3076000213623047
2018-01-02,1,122.77999877929688,47.74300003051758,19.497400283813477,3.311000108718872
2018-01-03,1,122.8499984741211,47.73400115966797,19.35110092163086,3.2578001022338867
2018-01-04,1,122.54000091552734,47.733001708984375,19.306970596313477,3.2355000972747803
2018-01-05,1,122.37999725341797,47.88600158691406,19.173999786376953,3.233099937438965
2018-01-06,1,122.37999725341797,47.88600158691406,19.173999786376953,3.233099937438965
2018-01-07,1,122.37999725341797,47.88600158691406,19.173999786376953,3.233099937438965
2018-01-08,1,122.73999786376953,47.86600112915039,19.192119598388672,3.226599931716919
2018-01-09,1,122.68000030517578,47.755001068115234,19.244680404663086,3.239000082015991
2018-01-10,1,122.22000122070312,48.01900100708008,19.26300048828125,3.246799945831299
2018-01-11,1,123.27999877929688,47.42300033569336,19.215370178222656,3.2263998985290527
2018-01-12,1,121.79000091552734,47.492000579833984,19.033000946044922,3.214200019836426
2018-01-13,1,121.79000091552734,47.492000579833984,19.033000946044922,3.214200019836426
2018-01-14,1,121.79000091552734,47.492000579833984,19.033000946044922,3.214200019836426
2018-01-15,1,121.97000122070312,47.86000061035156,18.85870933532715,3.200700044631958
2018-01-16,1,122.70999908447266,47.71500015258789,18.752500534057617,3.213200092315674
2018-01-17,1,122.33999633789062,47.99700164794922,18.71685028076172,3.2227001190185547
2018-01-18,1,122.88999938964844,47.917999267578125,18.58690071105957,3.2221999168395996
2018-01-19,1,122.72000122070312,48.11600112915039,18.620540618896484,3.2051000595092773
2018-01-20,1,122.72000122070312,48.11600112915039,18.620540618896484,3.2051000595092773
2018-01-21,1,122.72000122070312,48.11600112915039,18.620540618896484,3.2051000595092773
2018-01-22,1,123.37000274658203,48.380001068115234,18.707780838012695,3.194700002670288
2018-01-23,1,123.78820037841797,48.400001525878906,18.67329978942871,3.200700044631958
2018-01-24,1,123.67449951171875,48.40999984741211,18.535030364990234,3.2355000972747803
2018-01-25,1,123.73159790039062,48.41999816894531,18.609479904174805,3.1451001167297363
2018-01-26,1,124.10669708251953,48.43000030517578,18.476499557495117,3.146899938583374
2018-01-27,1,124.10669708251953,48.43000030517578,18.476499557495117,3.146899938583374
2018-01-28,1,124.10669708251953,48.43000030517578,18.476499557495117,3.146899938583374
2018-01-29,1,123.83110046386719,48.470001220703125,18.59779930114746,3.1510000228881836
2018-01-30,1,123.86579895019531,48.470001220703125,18.765979766845703,3.153599977493286
2018-01-31,1,123.8136978149414,48.4900016784668,18.587099075317383,3.179500102996826
2018-02-01,1,123.80899810791016,48.5099983215332,18.333009719848633,3.1847000122070312
2018-02-02,1,123.80899810791016,48.529998779296875,18.57659912109375,3.1637001037597656
2018-02-03,1,123.80899810791016,48.529998779296875,18.57659912109375,3.1637001037597656
2018-02-04,1,123.80899810791016,48.529998779296875,18.57659912109375,3.1637001037597656
2018-02-05,1,123.80899810791016,48.529998779296875,18.815929412841797,3.215399980545044
2018-02-06,1,124.16110229492188,48.79999923706055,18.621299743652344,3.2611000537872314
2018-02-07,1,124.25740051269531,48.52000045776367,18.777999877929688,3.2334001064300537
2018-02-08,1,124.45890045166016,48.52000045776367,18.86910057067871,3.26990008354187
2018-02-09,1,124.29460144042969,48.91999816894531,18.689699172973633,3.284600019454956
2018-02-10,1,124.29460144042969,48.91999816894531,18.689699172973633,3.284600019454956
2018-02-11,1,124.29460144042969,48.91999816894531,18.689699172973633,3.284600019454956
2018-02-12,1,124.47570037841797,48.709999084472656,18.58810043334961,3.290800094604492
2018-02-13,1,124.5824966430664,48.709999084472656,18.634300231933594,3.2939999103546143
2018-02-14,1,125.06600189208984,48.720001220703125,18.555099487304688,3.2941999435424805
2018-02-15,1,125.11830139160156,49.0,18.50271987915039,3.216200113296509
2018-02-16,1,125.11830139160156,49.08000183105469,18.50510025024414,3.2263998985290527
2018-02-17,1,125.11830139160156,49.08000183105469,18.50510025024414,3.2263998985290527
2018-02-18,1,125.11830139160156,49.08000183105469,18.50510025024414,3.2263998985290527
2018-02-19,1,125.19010162353516,49.099998474121094,18.51729965209961,3.2281999588012695
2018-02-20,1,125.19010162353516,48.849998474121094,18.703399658203125,3.233099937438965
2018-02-21,1,124.68489837646484,48.97999954223633,18.83810043334961,3.254300117492676
2018-02-22,1,125.5988998413086,48.959999084472656,18.603900909423828,3.2676000595092773
2018-02-23,1,125.30879974365234,48.97999954223633,18.520099639892578,3.248699903488159
2018-02-24,1,125.30879974365234,48.97999954223633,18.520099639892578,3.248699903488159
2018-02-25,1,125.30879974365234,48.97999954223633,18.520099639892578,3.248699903488159
2018-02-26,1,125.13999938964844,48.97999954223633,18.663799285888672,3.2372000217437744
2018-02-27,1,125.47019958496094,49.25,18.82900047302246,3.2225000858306885
2018-02-28,1,126.06379699707031,48.97999954223633,18.82509994506836,3.248500108718872
2018-03-01,1,126.19390106201172,48.90999984741211,18.84296989440918,3.244800090789795
2018-03-02,1,126.14019775390625,48.97999954223633,18.80830955505371,3.25
2018-03-03,1,126.14019775390625,48.97999954223633,18.80830955505371,3.25
2018-03-04,1,126.14019775390625,48.97999954223633,18.80830955505371,3.25
2018-03-05,1,126.31420135498047,49.0099983215332,18.784650802612305,3.2495999336242676
2018-03-06,1,126.47380065917969,49.0099983215332,18.849950790405273,3.240999937057495
2018-03-07,1,126.47380065917969,49.0099983215332,18.698299407958984,3.2079999446868896
2018-03-08,1,127.05860137939453,49.0099983215332,18.625,3.2428998947143555
